id,type,distance (ft)
1-a,dart,15.50
1-a,dart,16.92
1-a,dart,17.75
1-a,dart,13.67
1-a,dart,10.83
1-b,dart,10.25
1-b,dart,11.50
1-b,dart,14.83
1-b,dart,17.25
1-b,dart,11.00
1-c,dart,16.83
1-c,dart,18.75
1-c,dart,30.00
1-c,dart,14.42
1-c,dart,12.50
2-a,coasters,11.42
2-a,coasters,8.75
2-a,coasters,11.08
2-a,coasters,11.25
2-a,coasters,13.50
2-b,coasters,9.17
2-b,coasters,11.83
2-b,coasters,8.50
2-b,coasters,3.17
2-b,coasters,5.67
2-c,coasters,4.83
2-c,coasters,5.25
2-c,coasters,8.25
2-c,coasters,7.92
2-c,coasters,10.67
3-a,mantis,18.17
3-a,mantis,18.25
3-a,mantis,20.42
3-a,mantis,15.42
3-a,mantis,13.42
3-a,mantis,13.00
3-b,mantis,16.33333333
3-b,mantis,21.5
3-b,mantis,13.16666667
3-b,mantis,15.41666667
3-b,mantis,11.16666667
3-b,mantis,14.33333333
3-c,mantis,11.16666667
3-c,mantis,13.25
3-c,mantis,9.083333333
3-c,mantis,9.583333333
3-c,mantis,12.08333333
4-a,shuttle,14
4-a,shuttle,12
4-a,shuttle,15.5
4-a,shuttle,14.66666667
4-a,shuttle,18.41666667
4-a,shuttle,7.083333333
4-b,shuttle,4.916666667
4-b,shuttle,6.916666667
4-b,shuttle,13.75
4-b,shuttle,6.333333333
4-b,shuttle,12.83333333
4-c,shuttle,9.5
4-c,shuttle,17.33333333
4-c,shuttle,6.916666667
4-c,shuttle,7.083333333
4-c,shuttle,17
